code,description,service
04008,"vocational; therapeutic; or exercise activity that demands prosthetic",
05008,utilization beyond simple locomotion.,
01007,Lower extremity prosthesis functional level 4 - has the ability or potential,
02008,"for prosthetic ambulation that exceeds the basic ambulation skills; exhibiting",
03008,"high impact; stress; or energy levels; typical of the prosthetic demands of the",
04008,"child; active adult; or athlete.",
01007,Add on option/accessory for wheelchair,
01007,"Beneficiary requested upgrade for abn; more than 4 modifiers identified on claim",
01007,Replacement of special power wheelchair interface,
01007,Drug or biological infused through dme,
01007,Bid under round one of the dmepos competitive bidding program for use with,
02008,non-competitive bid base equipment,
01007,Item designated by fda as class iii device,
01007,Dmepos item subject to dmepos competitive bidding program number 1,
01007,"Dmepos item; initial claim; purchase or first month rental",
01007,"Dmepos item; second or third month rental",
01007,"Dmepos item; parenteral enteral nutrition (pen) pump or capped rental; months",
02008,four to fifteen,
01007,Dmepos item subject to dmepos competitive bidding program number 2,
01007,Dmepos item delivered via mail,
01007,Replacement of facial prosthesis including new impression/moulage,
01007,Replacement of facial prosthesis using previous master model,
01007,Single drug unit dose formulation,
01007,First drug of a multiple drug unit dose formulation,
01007,Second or subsequent drug of a multiple drug unit dose formulation,
01007,"Rental item; billing for partial month",
01007,Glucose monitor supply for diabetic beneficiary not treated with insulin,
01007,Beneficiary resides in a competitive bidding area and travels outside that,
02008,competitive bidding area and receives a competitive bid item,
01007,Dmepos item subject to dmepos competitive bidding program number 3,
01007,Dmepos item subject to dmepos competitive bidding program that is furnished as,
02008,part of a professional service,
01007,Dmepos item subject to dmepos competitive bidding program number 4,
01007,Requirements specified in the medical policy have been met,
01007,Dmepos item subject to dmepos competitive bidding program number 5,
01007,New coverage not implemented by managed care,
01007,Provider attestation that the hospital laboratory test(s) is not packaged under,
02008,the hospital opps,
01007,Left circumflex coronary artery,
01007,Left anterior descending coronary artery,
01007,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,
02008,against the purchase price),
01007,Left main coronary artery,
01007,Laboratory round trip,
01007,Fda-monitored intraocular lens implant,
01007,Left side (used to identify procedures performed on the left side of the body),
01007,Fractionated payment,
01007,Medicare secondary payer (msp),
01007,Ordering professional is not required to consult a clinical decision support,
02008,mechanism due to service being rendered to a patient with a suspected or,
03008,confirmed emergency medical condition,
01007,Ordering professional is not required to consult a clinical decision support,
02008,mechanism due to the significant hardship exception of insufficient internet,
03008,access,
01007,Ordering professional is not required to consult a clinical decision support,
02008,mechanism due to the significant hardship exception of electronic health record,
03008,or clinical decision support mechanism vendor issues,
01007,Ordering professional is not required to consult a clinical decision support,
02008,mechanism due to the significant hardship exception of extreme and,
03008,uncontrollable circumstances,
01007,The order for this service adheres to appropriate use criteria in the clinical,
02008,decision support mechanism consulted by the ordering professional,
01007,The order for this service does not adhere to the appropriate use criteria in,
02008,the clinical decision support mechanism consulted by the ordering professional,
01007,The order for this service does not have applicable appropriate use criteria in,
02008,the qualified clinical decision support mechanism consulted by the ordering,
03008,professional,
01007,Unknown if ordering professional consulted a clinical decision support,
02008,"mechanism for this service; related information was not provided to the",
03008,furnishing professional or provider,
01007,Six month maintenance and servicing fee for reasonable and necessary parts and,
02008,labor which are not covered under any manufacturer or supplier warranty,
01007,Group 1 oxygen coverage criteria met,
01007,Group 2 oxygen coverage criteria met,
01007,Group 3 oxygen coverage criteria met,
01007,"Nebulizer system; any type; fda-cleared for use with specific drug",
01007,New when rented (use the 'nr' modifier when dme which was new at the time of,
02008,rental is subsequently purchased),
01007,New equipment,
01007,A normal healthy patient,
01007,A patient with mild systemic disease,
01007,A patient with severe systemic disease,
01007,A patient with severe systemic disease that is a constant threat to life,
01007,A moribund patient who is not expected to survive without the operation,
01007,A declared brain-dead patient whose organs are being removed for donor purposes,
01007,Surgical or other invasive procedure on wrong body part,
01007,Surgical or other invasive procedure on wrong patient,
01007,Wrong surgery or other invasive procedure on patient,
01007,Diagnostic or related non diagnostic item or service provided in a wholly owned,
02008,or operated entity to a patient who is admitted as an inpatient within 3 days,
01007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,
02008,the initial treatment strategy of tumors that are biopsy proven or strongly,
03008,suspected of being cancerous based on other diagnostic testing,
01007,Progressive addition lenses,
01007,Post mortem,
01007,"Non-excepted service provided at an off-campus; outpatient; provider-based",
02008,department of a hospital,
01007,"Excepted service provided at an off-campus; outpatient; provider-based",
02008,department of a hospital,
01007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,
02008,the subsequent treatment strategy of cancerous tumors when the beneficiary's,
03008,treating physician determines that the pet study is needed to inform subsequent,
04008,anti-tumor strategy,
01007,Colorectal cancer screening test; converted to diagnostic test or other,
02008,procedure,
01007,Investigational clinical service provided in a clinical research study that is,
02008,in an approved clinical research study,
01007,Routine clinical service provided in a clinical research study that is in an,
02008,approved clinical research study,
01007,Demonstration procedure/service,
01007,Live kidney donor surgery and related services,
01007,Service for ordering/referring physician qualifies as a service exemption,
01007,Service furnished under a reciprocal billing arrangement by a substitute,
02008,physician or by a substitute physical therapist furnishing outpatient physical,
03008,"therapy services in a health professional shortage area; a medically",
04008,"underserved area; or a rural area",
01007,Service furnished under a fee-for-time compensation arrangement by a substitute,
02008,physician or by a substitute physical therapist furnishing outpatient physical,
03008,"therapy services in a health professional shortage area; a medically",
04008,"underserved area; or a rural area",
01007,One class a finding,
01007,Two class b findings,
01007,One class b and two class c findings,
01007,Prescribed amounts of stationary oxygen for daytime use while at rest and,
02008,nighttime use differ and the average of the two amounts is less than 1 liter,
03008,per minute (lpm),
01007,Prescribed amounts of stationary oxygen for daytime use while at rest and,
02008,nighttime use differ and the average of the two amounts exceeds 4 liters per,
03008,minute (lpm) and portable oxygen is prescribed,
01007,Single channel monitoring,
01007,Recording and storage in solid state memory by a digital recorder,
01007,Prescribed amount of stationary oxygen while at rest is less than 1 liter per,
02008,minute (lpm),
01007,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per,
02008,minute (lpm) and portable oxygen is prescribed,
01007,Prescribed amount of stationary oxygen while at rest is greater than 4 liters,
02008,per minute (lpm),
01007,Oxygen conserving device is being used with an oxygen delivery system,
01007,"Services/items provided to a prisoner or patient in state or local custody;",
02008,"however the state or local government; as applicable; meets the requirements in",
03008,42 cfr 411.4 (b),
01007,"Medical direction of two; three; or four concurrent anesthesia procedures",
02008,involving qualified individuals,
01007,Patient pronounced dead after ambulance called,
01007,Ambulance service provided under arrangement by a provider of services,
01007,Ambulance service furnished directly by a provider of services,
01007,Documentation is on file showing that the laboratory test(s) was ordered,
02008,individually or ordered as a cpt-recognized panel other than automated profile,
03008,"codes 80002-80019; g0058; g0059; and g0060.",
01007,Ordering professional consulted a qualified clinical decision support mechanism,
02008,for this service and the related data was provided to the furnishing,
03008,professional,
01007,Prescribed amounts of stationary oxygen for daytime use while at rest and,
02008,nighttime use differ and the average of the two amounts is greater than 4,
03008,liters per minute (lpm),
01007,Monitored anesthesia care service,
01007,Recording and storage on tape by an analog tape recorder,
01007,Clia waived test,
01007,Crna service: with medical direction by a physician,
01007,Medical direction of one certified registered nurse anesthetist (crna) by an,
02008,anesthesiologist,
01007,Crna service: without medical direction by a physician,
01007,"Replacement of a dme; orthotic or prosthetic item",
01007,"Replacement of a part of a dme; orthotic or prosthetic item furnished as part",
02008,of a repair,
01007,Right coronary artery,
01007,"Drug provided to beneficiary; but not administered ""incident-to""",
01007,Furnished in full compliance with fda-mandated risk evaluation and mitigation,
02008,strategy (rems),
01007,Ramus intermedius coronary artery,
01007,Rental (use the 'rr' modifier when dme is to be rented),
01007,Right side (used to identify procedures performed on the right side of the body),
01007,Nurse practitioner rendering service in collaboration with a physician,
01007,Nurse midwife,
01007,Medically necessary service or supply,
01007,"Services provided by registered nurse with specialized; highly technical home",
02008,infusion training,
01007,State and/or federally-funded programs/services,
01007,Second opinion ordered by a professional review organization (pro) per section,
02008,"9401; p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)",
01007,Ambulatory surgical center (asc) facility service,
01007,Second concurrently administered infusion therapy,
01007,Third or more concurrently administered infusion therapy,
01007,Member of high risk population (use only with codes for immunization),
01007,State supplied vaccine,
01007,Second surgical opinion,
01007,Third surgical opinion,
01007,Item ordered by home health,
01007,Home infusion services provided in the infusion suite of the iv therapy provider,
01007,Related to trauma or injury,
01007,Procedure performed in physician's office (to denote use of facility and,
02008,equipment),
01007,Pharmaceuticals delivered to patient's home but not utilized,
01007,Services provided by a certified diabetic educator,
01007,Persons who are in close contact with member of high-risk population (use only,
02008,with codes for immunization),
01007,Habilitative services,
01007,"Left foot; second digit",
01007,"Left foot; third digit",
01007,"Left foot; fourth digit",
01007,"Left foot; fifth digit",
01007,"Right foot; great toe",
01007,"Right foot; second digit",
01007,"Right foot; third digit",
01007,"Right foot; fourth digit",
01007,"Right foot; fifth digit",
01007,"Left foot; great toe",
01007,"Drug or biological acquired with 340b drug pricing program discount; reported",
02008,for informational purposes,
01007,"Technical component; under certain circumstances; a charge may be made for the",
02008,technical component alone;  under those circumstances the technical component,
03008,charge is identified by adding modifier 'tc' to the usual procedure number;,
04008,technical component charges are institutional charges and not billed separately,
05008,"by physicians; however; portable x-ray suppliers only bill for technical",
06008,component and should utilize modifier tc; the charge data from portable x-ray,
07008,suppliers will then be used to build customary and prevailing profiles,
01007,Rn,
01007,Lpn/lvn,
01007,Intermediate level of care,
01007,Complex/high tech level of care,
01007,"Obstetrical treatment/services; prenatal or postpartum",
01007,"Program group; child and/or adolescent",
01007,"Extra patient or passenger; non-ambulance",
01007,Early intervention/individualized family service plan (ifsp),
01007,Individualized education program (iep),
01007,Rural/outside providers' customary service area,
01007,"Medical transport; unloaded vehicle",
01007,Basic life support transport by a volunteer ambulance provider,
01007,School-based individualized education program (iep) services provided outside,
02008,the public school district responsible for the student,
01007,Follow-up service,
01007,Individualized service provided to more than one patient in same setting,
01007,"Special payment rate; overtime",
01007,"Special payment rates; holidays/weekends",
01007,Back-up equipment,
01007,"Medicaid level of care 1; as defined by each state",
01007,"Medicaid level of care 2; as defined by each state",
01007,"Medicaid level of care 3; as defined by each state",
01007,"Medicaid level of care 4; as defined by each state",
01007,"Medicaid level of care 5; as defined by each state",
01007,"Medicaid level of care 6; as defined by each state",
01007,"Medicaid level of care 7; as defined by each state",
01007,"Medicaid level of care 8; as defined by each state",
01007,"Medicaid level of care 9; as defined by each state",
01007,"Medicaid level of care 10; as defined by each state",
01007,"Medicaid level of care 11; as defined by each state",
01007,"Medicaid level of care 12; as defined by each state",
01007,"Medicaid level of care 13; as defined by each state",
01007,Used durable medical equipment,
01007,Services provided in the morning,
01007,Services provided in the afternoon,
01007,Services provided in the evening,
01007,Services provided at night,
01007,Services provided on behalf of the client to someone other than the client,
02008,(collateral relationship),
01007,Two patients served,
01007,Three patients served,
01007,Four patients served,
01007,Five patients served,
01007,Six or more patients served,
01007,Demonstration modifier 1,
01007,Demonstration modifier 2,
01007,Demonstration modifier 3,
01007,Demonstration modifier 4,
01007,Vascular catheter (alone or with any other vascular access),
01007,Arteriovenous graft (or other vascular access not including a vascular catheter),
01007,Arteriovenous fistula only (in use with two needles),
01007,Infection present,
01007,No infection present,
01007,Medicare diabetes prevention program (mdpp) virtual make-up session,
01007,Aphakic patient,
01007,"Continuous/broad services: for reporting services by clinicians; who provide",
02008,"the principal care for a patient; with no planned endpoint of the relationship;",
03008,"services in this category represent comprehensive care; dealing with the entire",
04008,"scope of patient problems; either directly or in a care coordination role;",
05008,"reporting clinician service examples include; but are not limited to: primary",
06008,"care; and clinicians providing comprehensive care to patients in addition to",
07008,specialty care,
01007,Continuous/focused services: for reporting services by clinicians whose,
02008,expertise is needed for the ongoing management of a chronic disease or a,
03008,condition that needs to be managed and followed with no planned endpoint to the,
04008,relationship; reporting clinician service examples include but are not limited,
05008,to: a rheumatologist taking care of the patient's rheumatoid arthritis,
06008,longitudinally but not providing general primary care services,
01007,Episodic/broad services: for reporting services by clinicians who have broad,
02008,responsibility for the comprehensive needs of the patient that is limited to a,
03008,defined period and circumstance such as a hospitalization; reporting clinician,
04008,service examples include but are not limited to the hospitalist's services,
05008,rendered providing comprehensive and general care to a patient while admitted,
06008,to the hospital,
01007,Episodic/focused services: for reporting services by clinicians who provide,
02008,focused care on particular types of treatment limited to a defined period and,
03008,"circumstance; the patient has a problem; acute or chronic; that will be treated",
04008,"with surgery; radiation; or some other type of generally time-limited",
05008,intervention; reporting clinician service examples include but are not limited,
06008,"to; the orthopedic surgeon performing a knee replacement and seeing the patient",
07008,through the postoperative period,
01007,Diagnostic services requested by another clinician: for reporting services by a,
02008,clinician who furnishes care to the patient only as requested by another,
03008,clinician or subsequent and related services requested by another clinician;,
04008,this modifier is reported for patient relationships that may not be adequately,
05008,captured by the above alternative categories; reporting clinician service,
06008,"examples include but are not limited to; the radiologist's interpretation of an",
07008,imaging study requested by another clinician,
01007,"Separate encounter; a service that is distinct because it occurred during a",
02008,separate encounter,
01007,"Separate practitioner; a service that is distinct because it was performed by a",
02008,different practitioner,
01007,"Separate structure; a service that is distinct because it was performed on a",
02008,separate organ/structure,
01007,"Unusual non-overlapping service; the use of a service that is distinct because",
02008,it does not overlap usual components of the main service,
01007,Novartis/sandoz,
01007,Pfizer/hospira,
01007,Merck/samsung bioepis,
21001,"003Ambulance service; outside state per mile; transport (medicaid only)",
80001,"003Non-emergency transportation; per mile - vehicle provided by volunteer",
80002,"004(individual or organization); with no vested interest",
90001,"003Non-emergency transportation; per mile - vehicle provided by individual (fami",
90002,"004member; self; neighbor) with vested interest",
00001,003Non-emergency transportation; taxi,
10001,"003Non-emergency transportation and bus; intra or inter state carrier",
20001,"003Non-emergency transportation: mini-bus; mountain area transports; or other",
20002,004transportation systems,
30001,003Non-emergency transportation: wheelchair van,
40001,003Non-emergency transportation and air travel (private or commercial) intra or,
40002,004inter state,
60001,003Non-emergency transportation: per mile - case worker or social worker,
70001,"003Transportation ancillary: parking fees; tolls; other",
80001,003Non-emergency transportation: ancillary: lodging-recipient,
90001,003Non-emergency transportation: ancillary: meals-recipient,
00001,003Non-emergency transportation: ancillary: lodging escort,
10001,003Non-emergency transportation: ancillary: meals-escort,
25001,"003Ambulance service; neonatal transport; base rate; emergency transport; one wa",
80001,003Bls mileage (per mile),
82001,003Bls routine disposable supplies,
84001,003Bls specialized service disposable supplies; defibrillation (used by als,
84002,004ambulances and bls ambulances in jurisdictions where defibrillation is,
84003,004permitted in bls ambulances),
90001,003Als mileage (per mile),
92001,003Als specialized service disposable supplies; defibrillation (to be used only,
92002,004jurisdictions where defibrillation cannot be performed in bls ambulances),
94001,003Als specialized service disposable supplies; iv drug therapy,
96001,003Als specialized service disposable supplies; esophageal intubation,
98001,003Als routine disposable supplies,
20001,"003Ambulance waiting time (als or bls); one half (1/2) hour increments",
22001,"003Ambulance (als or bls) oxygen and oxygen supplies; life sustaining situation",
24001,"003Extra ambulance attendant; ground (als or bls) or air (fixed or rotary winged",
24002,004(requires medical review),
25001,"003Ground mileage; per statute mile",
26001,"003Ambulance service; advanced life support; non-emergency transport; level 1 (a",
26002,0041),
27001,"003Ambulance service; advanced life support; emergency transport; level 1 (als 1",
27002,004emergency),
28001,"003Ambulance service; basic life support; non-emergency transport; (bls)",
29001,"003Ambulance service; basic life support; emergency transport (bls-emergency)",
30001,"003Ambulance service; conventional air services; transport; one way (fixed wing)",
31001,"003Ambulance service; conventional air services; transport; one way (rotary wing",
32001,"003Paramedic intercept (pi); rural area; transport furnished by a volunteer",
32002,004ambulance company which is prohibited by state law from billing third party,
32003,004payers,
33001,"003Advanced life support; level 2 (als 2)",
34001,003Specialty care transport (sct),
35001,"003Fixed wing air mileage; per statute mile",
36001,"003Rotary wing air mileage; per statute mile",
88001,"003Noncovered ambulance mileage; per mile (e.g.; for miles traveled beyond close",
88002,004appropriate facility),
98001,"003Ambulance response and treatment; no transport",
99001,003Unlisted ambulance service,
01001,"003Innovamatrix ac; per square centimeter",
02001,"003Mirragen advanced wound matrix; per square centimeter",
04001,"003Xcellistem; 1 mg",
05001,"003Microlyte matrix; per square centimeter",
06001,"003Novosorb synpath dermal matrix; per square centimeter",
07001,"003Restrata; per square centimeter",
08001,"003Theragenesis; per square centimeter",
09001,"003Symphony; per square centimeter",
10001,"003Apis; per square centimeter",
11001,"003Supra sdrm; per square centimeter",
12001,"003Suprathel; per square centimeter",
13001,"003Innovamatrix fs; per square centimeter",
14001,"003Omeza collagen matrix; per 100 mg",
15001,"003Phoenix wound matrix; per square centimeter",
16001,"003Permeaderm b; per square centimeter",
17001,"003Permeaderm glove; each",
18001,"003Permeaderm c; per square centimeter",
19001,"003Kerecis omega3 marigen shield; per square centimeter",
20001,003Ac5 advanced wound system (ac5),
21001,"003Neomatrix; per square centimeter",
22001,"003Innovaburn or innovamatrix xl; per square centimeter",
23001,"003Innovamatrix pd; 1 mg",
24001,"003Resolve matrix or xenopatch; per square centimeter",
25001,"003Miro3d; per cubic centimeter",
26001,"003Restrata minimatrix; 5 mg",
27001,"003Matriderm; per square centimeter",
