provider_number,case_mix_index,total_cases,total_relative_weights,service
030037,2.0366,158,321.79,High Complexity
030038,1.8860,4651,8771.85,Medium-High Complexity
030043,1.5774,1417,2235.15,Medium-High Complexity
030055,1.7082,1682,2873.25,Medium-High Complexity
030061,1.9256,5043,9710.64,Medium-High Complexity
030062,1.7244,1540,2655.55,Medium-High Complexity
030064,2.4195,3980,9629.53,High Complexity
030065,2.1451,4801,10298.53,High Complexity
030069,2.0207,1876,3790.89,High Complexity
030071,1.0470,513,537.12,Low-Medium Complexity
030073,1.4653,457,669.62,Medium Complexity
030074,0.9959,41,40.83,Low Complexity
030078,1.4319,122,174.69,Medium Complexity
030083,2.0098,886,1780.65,High Complexity
030084,1.1256,453,509.91,Low-Medium Complexity
030085,1.9247,3435,6611.36,Medium-High Complexity
030087,2.0808,6354,13221.45,High Complexity
030088,1.7030,3536,6021.96,Medium-High Complexity
030089,2.1169,3515,7441.03,High Complexity
030092,2.0747,3501,7263.67,High Complexity
030093,1.7110,4771,8163.09,Medium-High Complexity
030094,2.6383,2945,7769.74,High Complexity
030101,1.5951,1316,2099.20,Medium-High Complexity
030103,2.3141,10784,24955.59,High Complexity
030105,2.7894,1657,4622.11,High Complexity
030107,2.4770,278,688.62,High Complexity
030108,3.2402,231,748.49,High Complexity
030110,1.9966,2508,5007.44,Medium-High Complexity
030111,1.6305,862,1405.51,Medium-High Complexity
030112,2.8504,319,909.28,High Complexity
030113,1.0558,193,203.78,Low-Medium Complexity
030114,1.5945,1888,3010.48,Medium-High Complexity
030115,1.9233,1928,3708.17,Medium-High Complexity
030117,1.3033,288,375.35,Medium Complexity
030119,1.6037,3908,6267.38,Medium-High Complexity
030121,1.8438,977,1801.37,Medium-High Complexity
030122,2.0667,2009,4151.91,High Complexity
030123,1.6136,3300,5324.74,Medium-High Complexity
030130,1.6998,779,1324.15,Medium-High Complexity
030131,2.9267,328,959.97,High Complexity
030134,1.4348,169,242.48,Medium Complexity
030136,1.0627,78,82.89,Low-Medium Complexity
030138,2.4288,209,507.62,High Complexity
030139,1.2484,663,827.69,Medium Complexity
030146,1.6005,849,1358.83,Medium-High Complexity
030147,1.4673,730,1071.12,Medium Complexity
030148,1.4625,1213,1773.99,Medium Complexity
030152,0.8966,58,52.00,Low Complexity
030153,0.9249,27,24.97,Low Complexity
030154,0.9163,196,179.60,Low Complexity
030155,0.9241,15,13.86,Low Complexity
040001,1.7263,395,681.90,Medium-High Complexity
040002,1.3072,273,356.85,Medium Complexity
040004,2.1945,4439,9741.50,High Complexity
040007,2.6975,4306,11615.27,High Complexity
040010,1.8845,3657,6891.66,Medium-High Complexity
040011,1.0991,518,569.35,Low-Medium Complexity
040014,1.5269,2905,4435.59,Medium-High Complexity
040016,2.5760,4405,11347.40,High Complexity
040017,1.4136,662,935.83,Medium Complexity
040018,0.8205,8,6.56,Low Complexity
040019,1.3691,126,172.51,Medium Complexity
040020,1.9412,5364,10412.85,Medium-High Complexity
040022,1.7799,1870,3328.40,Medium-High Complexity
040026,1.8926,4155,7863.90,Medium-High Complexity
040027,1.8480,2912,5381.35,Medium-High Complexity
040029,1.7176,2555,4388.36,Medium-High Complexity
040036,1.8342,3887,7129.51,Medium-High Complexity
040039,1.4248,615,876.27,Medium Complexity
040041,1.6590,998,1655.72,Medium-High Complexity
040050,1.3071,264,345.08,Medium Complexity
040051,1.1713,623,729.75,Low-Medium Complexity
040055,1.9167,3276,6278.96,Medium-High Complexity
040062,1.7978,4390,7892.55,Medium-High Complexity
040067,1.1408,327,373.04,Low-Medium Complexity
040069,1.1793,120,141.51,Low-Medium Complexity
040071,1.6940,1776,3008.53,Medium-High Complexity
040072,1.0937,157,171.71,Low-Medium Complexity
040076,1.1934,162,193.33,Low-Medium Complexity
040078,2.0519,1420,2913.64,High Complexity
040084,1.5488,1049,1624.68,Medium-High Complexity
040088,1.4910,816,1216.62,Medium Complexity
040114,2.1520,7306,15722.86,High Complexity
040118,1.6773,3702,6209.50,Medium-High Complexity
040119,1.6250,2537,4122.55,Medium-High Complexity
040134,2.6459,2189,5791.96,High Complexity
040137,2.2722,1042,2367.64,High Complexity
040147,2.6399,533,1407.07,High Complexity
040153,1.5515,103,159.81,Medium-High Complexity
040154,1.6925,1245,2107.16,Medium-High Complexity
040156,1.2540,163,204.40,Medium Complexity
040161,1.8334,665,1219.23,Medium-High Complexity
040164,1.2256,67,82.11,Medium Complexity
050002,1.6894,924,1561.02,Medium-High Complexity
050006,1.9632,3033,5954.33,Medium-High Complexity
050007,1.9940,4101,8177.56,Medium-High Complexity
050008,1.7919,1049,1879.71,Medium-High Complexity
050009,1.8446,2213,4082.17,Medium-High Complexity
050013,2.5537,1480,3779.50,High Complexity
050014,1.5060,1016,1530.06,Medium-High Complexity
050017,2.2945,3255,7468.74,High Complexity
050022,2.0787,4291,8919.76,High Complexity
050024,1.5350,1085,1665.52,Medium-High Complexity
050025,2.6468,7493,19832.78,High Complexity
050026,1.8462,6470,11945.11,Medium-High Complexity
050028,1.5024,329,494.28,Medium-High Complexity
050030,1.6809,3932,6609.28,Medium-High Complexity
050036,2.1363,3312,7075.38,High Complexity
050038,1.7781,5140,9139.30,Medium-High Complexity
050039,1.8329,7766,14234.68,Medium-High Complexity
050040,1.6751,1122,1879.51,Medium-High Complexity
050042,1.5294,1079,1650.22,Medium-High Complexity
050043,2.0439,4156,8494.60,High Complexity
050045,1.5124,1221,1846.63,Medium-High Complexity
050047,2.5906,3782,9797.74,High Complexity
050054,1.6950,417,706.82,Medium-High Complexity
050055,1.6160,1542,2491.92,Medium-High Complexity
050056,2.2596,2296,5188.12,High Complexity
050057,1.8514,5235,9692.20,Medium-High Complexity
050058,1.8292,2179,3985.81,Medium-High Complexity
050060,2.2042,6078,13397.17,High Complexity
050063,1.9803,2096,4150.73,Medium-High Complexity
050067,1.2668,176,222.95,Medium Complexity
050069,2.3561,4016,9462.19,High Complexity
050070,1.5860,372,589.98,Medium-High Complexity
050071,2.2950,650,1491.74,High Complexity
050072,1.8165,405,735.70,Medium-High Complexity
050073,1.8494,540,998.69,Medium-High Complexity
050075,1.6595,1527,2534.09,Medium-High Complexity
050076,2.1783,454,988.96,High Complexity
050077,1.9531,4464,8718.61,Medium-High Complexity
050078,1.4863,1009,1499.68,Medium Complexity
050082,1.9428,4487,8717.48,Medium-High Complexity
050084,2.2532,3827,8622.94,High Complexity
050089,1.5434,366,564.87,Medium-High Complexity
050090,1.3756,394,541.99,Medium Complexity
050091,1.6970,459,778.93,Medium-High Complexity
050093,1.8104,6085,11016.35,Medium-High Complexity
050099,1.7794,3276,5829.35,Medium-High Complexity
050100,1.9193,5160,9903.42,Medium-High Complexity
050101,1.8092,1251,2263.37,Medium-High Complexity
050102,1.6956,1011,1714.26,Medium-High Complexity
050103,1.9032,2183,4154.64,Medium-High Complexity
050104,1.9895,1753,3487.51,Medium-High Complexity
050107,1.8261,4718,8615.45,Medium-High Complexity
050108,2.5235,5965,15052.58,High Complexity
050110,1.5442,936,1445.36,Medium-High Complexity
050112,2.1468,4293,9216.30,High Complexity
050113,1.4606,202,295.03,Medium Complexity
050115,1.8750,3895,7303.24,Medium-High Complexity
050116,2.0711,3718,7700.32,High Complexity
050118,1.6134,725,1169.72,Medium-High Complexity
050121,1.7966,1991,3577.05,Medium-High Complexity
050122,2.1123,579,1223.01,High Complexity
050124,1.6087,1947,3132.05,Medium-High Complexity
050125,1.8337,2298,4213.85,Medium-High Complexity
050126,1.8588,1900,3531.66,Medium-High Complexity
050127,1.8599,755,1404.25,Medium-High Complexity
050128,1.9901,1883,3747.40,Medium-High Complexity
050129,1.8771,1964,3686.60,Medium-High Complexity
050131,1.7165,988,1695.88,Medium-High Complexity
050132,1.9058,1518,2893.06,Medium-High Complexity
050133,1.7951,4021,7218.11,Medium-High Complexity
050135,1.6387,6478,10615.43,Medium-High Complexity
050136,1.5390,764,1175.79,Medium-High Complexity
050137,1.8744,475,890.33,Medium-High Complexity
050138,2.2400,978,2190.67,High Complexity
050139,1.7897,668,1195.52,Medium-High Complexity
050140,1.8926,1090,2062.91,Medium-High Complexity
050145,1.8986,5676,10776.18,Medium-High Complexity
050149,1.9462,915,1780.81,Medium-High Complexity
050150,1.6145,1844,2977.21,Medium-High Complexity
050152,1.7939,610,1094.27,Medium-High Complexity
050158,1.7427,776,1352.32,Medium-High Complexity
050159,1.6379,1708,2797.46,Medium-High Complexity
050167,2.0475,904,1850.96,High Complexity
050168,2.1374,4069,8696.92,High Complexity
050169,1.9180,3466,6647.89,Medium-High Complexity
050174,2.1157,4465,9446.72,High Complexity
050179,1.7347,2155,3738.21,Medium-High Complexity
050180,1.8936,6736,12755.01,Medium-High Complexity
050191,2.0228,1422,2876.42,High Complexity
050192,1.2789,97,124.05,Medium Complexity
050194,1.5388,937,1441.86,Medium-High Complexity
050195,1.7602,3879,6827.85,Medium-High Complexity
050197,2.2504,1625,3656.94,High Complexity
050204,1.8487,1676,3098.43,Medium-High Complexity
050211,1.5300,1002,1533.07,Medium-High Complexity
050222,1.7598,3419,6016.90,Medium-High Complexity
050224,1.8739,9600,17989.73,Medium-High Complexity
050226,1.9654,1167,2293.63,Medium-High Complexity
050228,1.7537,2709,4750.82,Medium-High Complexity
050230,1.7665,1141,2015.58,Medium-High Complexity
050231,2.2369,3027,6770.95,High Complexity
050232,2.0837,2234,4654.93,High Complexity
050234,1.4084,720,1014.08,Medium Complexity
050235,1.9372,5172,10019.09,Medium-High Complexity
050236,1.7129,2552,4371.34,Medium-High Complexity
050238,1.9132,4087,7819.14,Medium-High Complexity
050239,1.9732,6467,12760.42,Medium-High Complexity
050242,1.8772,4291,8055.03,Medium-High Complexity
050243,2.0362,2952,6010.84,High Complexity
050245,1.8484,1545,2855.73,Medium-High Complexity
050248,1.6309,1350,2201.69,Medium-High Complexity
050254,1.5848,1745,2765.44,Medium-High Complexity
050257,1.7899,408,730.29,Medium-High Complexity
050261,1.6451,1348,2217.55,Medium-High Complexity
050262,2.7769,5416,15039.60,High Complexity
050272,1.9669,1383,2720.20,Medium-High Complexity
050276,1.4029,655,918.92,Medium Complexity
050278,2.0674,3191,6597.16,High Complexity
050279,1.5134,413,625.03,Medium-High Complexity
050280,2.0576,5450,11213.92,High Complexity
050281,1.6951,944,1600.17,Medium-High Complexity
050283,2.2297,2619,5839.64,High Complexity
050289,1.9599,712,1395.43,Medium-High Complexity
050290,2.0837,5001,10420.54,High Complexity
050291,1.8580,2914,5414.35,Medium-High Complexity
050292,1.7252,2369,4087.06,Medium-High Complexity
050295,1.8093,2123,3841.21,Medium-High Complexity
050298,1.7433,284,495.10,Medium-High Complexity
050300,1.8226,2112,3849.37,Medium-High Complexity
050301,1.6070,1024,1645.55,Medium-High Complexity
050305,1.8067,2167,3915.01,Medium-High Complexity
050308,1.8924,6307,11935.61,Medium-High Complexity
050309,1.7946,8322,14934.65,Medium-High Complexity
050313,1.7709,996,1763.80,Medium-High Complexity
050315,1.7855,929,1658.69,Medium-High Complexity
050320,1.8419,2242,4129.48,Medium-High Complexity
050324,2.2445,7306,16398.12,High Complexity
050327,2.4406,4443,10843.64,High Complexity
050329,1.6435,1439,2364.96,Medium-High Complexity
050334,1.7815,4079,7266.92,Medium-High Complexity
050335,1.8500,2046,3785.08,Medium-High Complexity
050336,1.5860,2218,3517.71,Medium-High Complexity
050342,1.5042,998,1501.22,Medium-High Complexity
050348,2.3514,5178,12175.33,High Complexity
050351,1.8505,6273,11608.42,Medium-High Complexity
050352,1.6939,440,745.30,Medium-High Complexity
050353,1.9348,3148,6090.75,Medium-High Complexity
050357,1.7721,561,994.16,Medium-High Complexity
050360,1.8315,3995,7316.66,Medium-High Complexity
050367,1.8760,3374,6329.53,Medium-High Complexity
050373,1.8395,2421,4453.43,Medium-High Complexity
050376,1.8497,1841,3405.22,Medium-High Complexity
050378,1.3906,244,339.31,Medium Complexity
050380,1.8599,4859,9037.40,Medium-High Complexity
050382,1.8544,3888,7209.77,Medium-High Complexity
050390,1.7075,1350,2305.09,Medium-High Complexity
050393,1.6777,1443,2420.89,Medium-High Complexity
050394,1.8973,3345,6346.56,Medium-High Complexity
050396,2.0002,6659,13319.58,High Complexity
050407,1.5285,376,574.71,Medium-High Complexity
050411,1.8223,591,1076.96,Medium-High Complexity
050414,1.5141,1986,3007.08,Medium-High Complexity
050417,1.6821,832,1399.51,Medium-High Complexity
050424,2.2885,3275,7494.93,High Complexity
050425,1.8155,933,1693.86,Medium-High Complexity
050426,1.9461,2302,4479.90,Medium-High Complexity
050438,2.0516,5919,12143.35,High Complexity
050441,2.5520,13029,33249.71,High Complexity
050444,1.6637,2764,4598.53,Medium-High Complexity
050454,2.8907,9298,26878.00,High Complexity
050455,1.9872,3373,6702.75,Medium-High Complexity
050457,1.8145,1478,2681.86,Medium-High Complexity
050464,2.0911,3908,8172.00,High Complexity
050468,1.8895,1082,2044.45,Medium-High Complexity
050471,2.0336,2576,5238.51,High Complexity
050481,1.8821,3050,5740.39,Medium-High Complexity
050485,2.2155,3523,7805.15,High Complexity
050488,1.9086,2657,5071.24,Medium-High Complexity
050492,1.8083,5297,9578.83,Medium-High Complexity
050496,2.0324,4744,9641.59,High Complexity
050498,1.5930,1391,2215.89,Medium-High Complexity
050503,1.7116,4810,8232.84,Medium-High Complexity
050506,2.1107,1302,2748.15,High Complexity
050510,1.7758,187,332.07,Medium-High Complexity
050512,1.5997,252,403.12,Medium-High Complexity
050515,1.7360,1100,1909.62,Medium-High Complexity
050516,1.8652,4561,8507.16,Medium-High Complexity
050517,1.7167,770,1321.84,Medium-High Complexity
050523,1.6820,1927,3241.30,Medium-High Complexity
050526,1.5707,714,1121.50,Medium-High Complexity
050528,1.5165,457,693.05,Medium-High Complexity
050534,1.7026,828,1409.72,Medium-High Complexity
050537,1.5581,1059,1650.04,Medium-High Complexity
050541,2.3976,295,707.28,High Complexity
050543,1.1827,93,109.99,Low-Medium Complexity
050546,1.2601,2,2.52,Medium Complexity
050549,1.9658,6324,12431.50,Medium-High Complexity
050551,1.7197,2617,4500.42,Medium-High Complexity
050557,1.8955,5731,10863.12,Medium-High Complexity
050561,1.8807,575,1081.39,Medium-High Complexity
050567,2.0836,5240,10918.00,High Complexity
050570,1.7982,2850,5124.94,Medium-High Complexity
050573,2.0098,8206,16492.69,High Complexity
050580,1.5771,933,1471.43,Medium-High Complexity
050581,1.9460,1947,3788.89,Medium-High Complexity
050586,1.6458,863,1420.31,Medium-High Complexity
050588,1.8308,814,1490.28,Medium-High Complexity
050589,1.6982,846,1436.65,Medium-High Complexity
050590,1.6190,1458,2360.54,Medium-High Complexity
050597,1.6658,1407,2343.75,Medium-High Complexity
050599,2.4795,8186,20297.05,High Complexity
050603,1.9465,2606,5072.66,Medium-High Complexity
050604,1.8177,520,945.19,Medium-High Complexity
050608,1.7469,369,644.62,Medium-High Complexity
050609,1.9837,760,1507.63,Medium-High Complexity
050624,1.7968,2535,4554.83,Medium-High Complexity
050625,2.5155,16958,42657.18,High Complexity
050633,1.5489,1443,2235.12,Medium-High Complexity
050636,1.5969,1409,2249.98,Medium-High Complexity
050641,1.6226,259,420.26,Medium-High Complexity
050663,1.5748,3570,5621.92,Medium-High Complexity
050668,1.2880,99,127.51,Medium Complexity
050674,1.8129,920,1667.85,Medium-High Complexity
050677,1.7277,322,556.32,Medium-High Complexity
050678,1.9438,3029,5887.74,Medium-High Complexity
050684,1.5233,385,586.46,Medium-High Complexity
050686,1.9297,353,681.17,Medium-High Complexity
050689,1.8887,1328,2508.21,Medium-High Complexity
050690,1.7916,271,485.51,Medium-High Complexity
050696,3.1331,3956,12394.53,High Complexity
050697,1.9449,65,126.42,Medium-High Complexity
050701,1.7042,2275,3877.01,Medium-High Complexity
050704,1.9414,1447,2809.26,Medium-High Complexity
050708,3.8512,420,1617.51,High Complexity
050709,1.7954,1850,3321.48,Medium-High Complexity
050710,1.6058,259,415.90,Medium-High Complexity
050714,2.4725,61,150.83,High Complexity
050717,1.8896,174,328.80,Medium-High Complexity
050723,1.8781,400,751.22,Medium-High Complexity
050724,2.0511,134,274.85,High Complexity
050726,1.9285,22,42.43,Medium-High Complexity
050735,1.5033,970,1458.19,Medium-High Complexity
050736,1.4864,481,714.96,Medium Complexity
050737,1.9369,1663,3221.00,Medium-High Complexity
050738,1.7953,487,874.32,Medium-High Complexity
050739,1.9444,3376,6564.37,Medium-High Complexity
050740,1.9125,1639,3134.62,Medium-High Complexity
050744,1.5856,183,290.16,Medium-High Complexity
050745,1.5577,394,613.72,Medium-High Complexity
050746,2.1852,1283,2803.66,High Complexity
050747,1.7765,233,413.92,Medium-High Complexity
050748,1.7409,474,825.19,Medium-High Complexity
050755,1.7606,2132,3753.53,Medium-High Complexity
050757,2.0448,157,321.04,High Complexity
050758,1.7497,648,1133.78,Medium-High Complexity
050760,1.7427,521,907.96,Medium-High Complexity
050761,1.7589,4172,7337.99,Medium-High Complexity
050763,1.3663,2775,3791.59,Medium Complexity
050764,2.0527,2936,6026.84,High Complexity
050765,1.7585,158,277.85,Medium-High Complexity
050766,2.2695,124,281.41,High Complexity
050767,2.1977,347,762.62,High Complexity
050769,3.0114,932,2806.65,High Complexity
050770,1.9178,2049,3929.49,Medium-High Complexity
050771,1.7753,735,1304.82,Medium-High Complexity
050772,1.7975,806,1448.78,Medium-High Complexity
050775,1.8737,2201,4123.97,Medium-High Complexity
050776,1.3802,745,1028.25,Medium Complexity
050777,1.7280,398,687.74,Medium-High Complexity
050778,1.0664,21,22.39,Low-Medium Complexity
050779,1.6075,1085,1744.11,Medium-High Complexity
050780,1.6569,1392,2306.45,Medium-High Complexity
050782,1.8074,245,442.80,Medium-High Complexity
050783,1.2821,269,344.88,Medium Complexity
050784,1.7059,483,823.95,Medium-High Complexity
050785,2.7731,119,330.00,High Complexity
050854,1.3588,115,156.26,Medium Complexity
050855,1.5144,291,440.68,Medium-High Complexity
060001,2.1230,1350,2866.11,High Complexity
060003,1.6658,544,906.20,Medium-High Complexity
060004,1.8385,461,847.55,Medium-High Complexity
060006,1.7154,678,1163.06,Medium-High Complexity
060008,1.4852,326,484.17,Medium Complexity
060009,1.9656,1760,3459.42,Medium-High Complexity
060010,1.7992,2602,4681.48,Medium-High Complexity
060011,2.0290,998,2024.93,High Complexity
060012,2.0824,369,768.39,High Complexity
060013,1.9949,1333,2659.18,Medium-High Complexity
060014,3.1235,1312,4098.05,High Complexity
060015,2.2482,3325,7475.33,High Complexity
060020,1.9501,2906,5667.04,Medium-High Complexity
060022,2.0663,6180,12769.57,High Complexity
060023,2.3735,2763,6557.89,High Complexity
060024,2.6140,6620,17304.89,High Complexity
060027,2.1079,2341,4934.68,High Complexity
060028,2.8497,1460,4160.60,High Complexity
060030,1.7526,460,806.18,Medium-High Complexity
060031,2.1908,5135,11249.84,High Complexity
060032,1.8847,1489,2806.38,Medium-High Complexity
060034,2.2629,3856,8725.61,High Complexity
060044,1.5754,230,362.35,Medium-High Complexity
060049,1.7673,249,440.05,Medium-High Complexity
060054,2.1149,588,1243.59,High Complexity
060064,2.4172,1510,3650.01,High Complexity
060065,1.8795,918,1725.39,Medium-High Complexity
060071,1.4020,416,583.25,Medium Complexity
060075,1.9448,935,1818.41,Medium-High Complexity
060076,1.4885,288,428.69,Medium Complexity
060096,2.0289,473,959.66,High Complexity
060100,2.0662,2746,5673.83,High Complexity
060103,2.7371,380,1040.09,High Complexity
060104,1.7061,1489,2540.43,Medium-High Complexity
060107,0.9796,18,17.63,Low Complexity
060112,2.1192,2692,5704.78,High Complexity
060113,2.0901,2304,4815.49,High Complexity
060114,1.9813,1910,3784.31,Medium-High Complexity
060116,1.9437,1038,2017.59,Medium-High Complexity
060117,2.5461,36,91.66,High Complexity
060118,1.6044,202,324.09,Medium-High Complexity
060119,2.6457,3357,8881.66,High Complexity
060124,4.6123,267,1231.48,High Complexity
060125,1.7930,928,1663.95,Medium-High Complexity
060126,1.8777,87,163.36,Medium-High Complexity
060128,1.6950,1137,1927.25,Medium-High Complexity
060129,1.3587,98,133.15,Medium Complexity
060130,1.5067,108,162.72,Medium-High Complexity
060131,1.6527,1151,1902.27,Medium-High Complexity
060132,1.7382,1824,3170.48,Medium-High Complexity
060133,1.9288,93,179.38,Medium-High Complexity
070002,2.1086,3740,7886.33,High Complexity
070003,1.4457,777,1123.28,Medium Complexity
070004,1.4972,486,727.62,Medium Complexity
070005,1.7758,2151,3819.85,Medium-High Complexity
070006,1.8015,3804,6852.78,Medium-High Complexity
070007,1.7036,3038,5175.55,Medium-High Complexity
070008,1.4108,291,410.53,Medium Complexity
070010,1.8431,4924,9075.20,Medium-High Complexity
070011,1.5058,1762,2653.27,Medium-High Complexity
070016,1.7970,1760,3162.71,Medium-High Complexity
070017,1.8085,2447,4425.34,Medium-High Complexity
070018,1.7586,3255,5724.29,Medium-High Complexity
070020,1.4915,2825,4213.35,Medium Complexity
070021,1.2917,640,826.69,Medium Complexity
070022,2.2317,11424,25494.89,High Complexity
070024,1.7142,2812,4820.40,Medium-High Complexity
070025,2.2120,8601,19025.10,High Complexity
070027,1.6271,1266,2059.91,Medium-High Complexity
070028,2.1732,2870,6237.23,High Complexity
070029,1.5674,936,1467.08,Medium-High Complexity
070031,1.4622,1386,2026.59,Medium Complexity
070033,1.9456,5691,11072.25,Medium-High Complexity
070034,1.7044,3071,5234.27,Medium-High Complexity
070035,1.7397,2747,4778.86,Medium-High Complexity
070036,1.8320,2410,4415.10,Medium-High Complexity
080001,1.9862,17550,34857.90,Medium-High Complexity
080003,1.6210,793,1285.49,Medium-High Complexity
080004,1.8329,4658,8537.83,Medium-High Complexity
080006,1.7001,1668,2835.72,Medium-High Complexity
080007,1.6239,5357,8699.14,Medium-High Complexity
080009,1.5178,2532,3843.09,Medium-High Complexity
090001,2.3713,3485,8264.04,High Complexity
090003,1.6882,1283,2165.96,Medium-High Complexity
090004,2.5918,4794,12424.99,High Complexity
090005,1.7572,3746,6582.59,Medium-High Complexity
090008,1.6503,704,1161.84,Medium-High Complexity
090011,2.9228,8121,23735.66,High Complexity
100001,1.8870,3926,7408.25,Medium-High Complexity
100002,1.7334,5429,9410.45,Medium-High Complexity
100006,2.0208,13152,26577.64,High Complexity
100007,1.9830,31578,62617.83,Medium-High Complexity
100008,2.0759,5525,11469.33,High Complexity
100012,1.9206,8952,17193.01,Medium-High Complexity
100014,1.6838,2087,3514.03,Medium-High Complexity
100017,1.8914,4192,7928.73,Medium-High Complexity
100018,1.8622,11820,22010.96,Medium-High Complexity
100019,2.1141,7742,16367.60,High Complexity
100022,2.1027,5639,11857.20,High Complexity
100023,1.8868,3689,6960.23,Medium-High Complexity
100025,2.0051,5491,11009.88,High Complexity
100026,1.9494,2826,5509.06,Medium-High Complexity
100028,1.7851,1353,2415.22,Medium-High Complexity
100029,1.8524,1605,2973.04,Medium-High Complexity
100030,1.5086,2662,4015.91,Medium-High Complexity
100032,1.8145,2432,4412.93,Medium-High Complexity
100034,1.9552,4753,9293.28,Medium-High Complexity
100035,2.0169,3922,7910.30,High Complexity
100038,1.9537,4191,8187.90,Medium-High Complexity
