diagnosis_code,description,cc_status,mdc,ms_drg_list,service
E83.821,ENPP1 deficiency causing generalized arterial calcification of infancy,C,05,"299, 300, 301",Circulatory System
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
E83.822,ENPP1 deficiency causing autosomal recessive hypophosphatemic rickets type 2,N,10,642,Endocrine/Nutritional/Metabolic
E83.823,ABCC6 deficiency causing generalized arterial calcification of infancy,C,05,"299, 300, 301",Circulatory System
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
E83.824,ABCC6 deficiency causing pseudoxanthoma elasticum,N,10,642,Endocrine/Nutritional/Metabolic
E83.825,CD73 deficiency causing arterial calcification,C,05,"299, 300, 301",Circulatory System
E88.10,"Lipodystrophy, unspecified",N,10,642,Endocrine/Nutritional/Metabolic
E88.11,Partial lipodystrophy,N,10,642,Endocrine/Nutritional/Metabolic
E88.12,Generalized lipodystrophy,N,10,642,Endocrine/Nutritional/Metabolic
E88.13,Localized lipodystrophy,N,10,642,Endocrine/Nutritional/Metabolic
E88.14,HIV-associated lipodystrophy,N,10,642,Endocrine/Nutritional/Metabolic
"""""",,,25,977(2),HIV Infections
E88.19,"Other lipodystrophy, not elsewhere classified",N,10,642,Endocrine/Nutritional/Metabolic
G31.87,Primary progressive apraxia of speech,N,01,"056, 057",Nervous System
G35.A,Relapsing-remitting multiple sclerosis,N,01,"058, 059, 060",Nervous System
G35.B0,"Primary progressive multiple sclerosis, unspecified",N,01,"058, 059, 060",Nervous System
G35.B1,Active primary progressive multiple sclerosis,N,01,"058, 059, 060",Nervous System
G35.B2,Non-active primary progressive multiple sclerosis,N,01,"058, 059, 060",Nervous System
G35.C0,"Secondary progressive multiple sclerosis, unspecified",N,01,"058, 059, 060",Nervous System
G35.C1,Active secondary progressive multiple sclerosis,N,01,"058, 059, 060",Nervous System
G35.C2,Non-active secondary progressive multiple sclerosis,N,01,"058, 059, 060",Nervous System
G35.D,"Multiple sclerosis, unspecified",N,01,"058, 059, 060",Nervous System
G71.036,Limb girdle muscular dystrophy due to fukutin related protein dysfunction,N,01,"091, 092, 093",Nervous System
H01.81,Other specified inflammation of right upper eyelid,N,02,"124, 125",Eye
H01.82,Other specified inflammation of right lower eyelid,N,02,"124, 125",Eye
H01.83,"Other specified inflammation of right eye, unspecified eyelid",N,02,"124, 125",Eye
H01.84,Other specified inflammation of left upper eyelid,N,02,"124, 125",Eye
H01.85,Other specified inflammation of left lower eyelid,N,02,"124, 125",Eye
H01.86,"Other specified inflammation of left eye, unspecified eyelid",N,02,"124, 125",Eye
H01.89,"Other specified inflammation of unspecified eye, unspecified eyelid",N,02,"124, 125",Eye
H01.8A,"Other specified inflammation of right eye, upper and lower eyelids",N,02,"124, 125",Eye
H01.8B,"Other specified inflammation of left eye, upper and lower eyelids",N,02,"124, 125",Eye
H05.831,"Thyroid orbitopathy, right orbit",N,02,"124, 125",Eye
H05.832,"Thyroid orbitopathy, left orbit",N,02,"124, 125",Eye
H05.833,"Thyroid orbitopathy, bilateral",N,02,"124, 125",Eye
H05.839,"Thyroid orbitopathy, unspecified orbit",N,02,"124, 125",Eye
H40.841,"Neovascular secondary angle closure glaucoma, right eye",N,02,"124, 125",Eye
H40.842,"Neovascular secondary angle closure glaucoma, left eye",N,02,"124, 125",Eye
H40.843,"Neovascular secondary angle closure glaucoma, bilateral",N,02,"124, 125",Eye
H40.849,"Neovascular secondary angle closure glaucoma, unspecified eye",N,02,"124, 125",Eye
I27.840,Fontan-associated liver disease [FALD],C,07,"441, 442, 443",Hepatobiliary System
I27.841,Fontan-associated lymphatic dysfunction,N,16,"808, 809, 810",Blood/Blood-forming Organs
I27.848,Other Fontan-associated condition,N,05,"314, 315, 316",Circulatory System
I27.849,"Fontan related circulation, unspecified",N,05,"314, 315, 316",Circulatory System
L02.217,Cutaneous abscess of flank,C,09,"573, 574, 575, 602, 603",Skin/Subcutaneous Tissue
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
L02.227,Furuncle of flank,N,09,"602, 603",Skin/Subcutaneous Tissue
L03.31A,Cellulitis of flank,C,09,"573, 574, 575, 602, 603",Skin/Subcutaneous Tissue
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
L03.32A,Acute lymphangitis of flank,C,09,"573, 574, 575, 602, 603",Skin/Subcutaneous Tissue
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
L98.431,Non-pressure chronic ulcer of abdomen limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.432,Non-pressure chronic ulcer of abdomen with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.433,Non-pressure chronic ulcer of abdomen with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.434,Non-pressure chronic ulcer of abdomen with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.435,Non-pressure chronic ulcer of abdomen with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.436,Non-pressure chronic ulcer of abdomen with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.438,Non-pressure chronic ulcer of abdomen with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.439,Non-pressure chronic ulcer of abdomen with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.441,Non-pressure chronic ulcer of chest limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.442,Non-pressure chronic ulcer of chest with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.443,Non-pressure chronic ulcer of chest with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.444,Non-pressure chronic ulcer of chest with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.445,Non-pressure chronic ulcer of chest with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.446,Non-pressure chronic ulcer of chest with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.448,Non-pressure chronic ulcer of chest with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.449,Non-pressure chronic ulcer of chest with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.451,Non-pressure chronic ulcer of neck limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.452,Non-pressure chronic ulcer of neck with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.453,Non-pressure chronic ulcer of neck with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.454,Non-pressure chronic ulcer of neck with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.455,Non-pressure chronic ulcer of neck with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.456,Non-pressure chronic ulcer of neck with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.458,Non-pressure chronic ulcer of neck with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.459,Non-pressure chronic ulcer of neck with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.461,Non-pressure chronic ulcer of face limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.462,Non-pressure chronic ulcer of face with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.463,Non-pressure chronic ulcer of face with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.464,Non-pressure chronic ulcer of face with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.465,Non-pressure chronic ulcer of face with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.466,Non-pressure chronic ulcer of face with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.468,Non-pressure chronic ulcer of face with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.469,Non-pressure chronic ulcer of face with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.471,Non-pressure chronic ulcer of groin limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.472,Non-pressure chronic ulcer of groin with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.473,Non-pressure chronic ulcer of groin with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.474,Non-pressure chronic ulcer of groin with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.475,Non-pressure chronic ulcer of groin with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.476,Non-pressure chronic ulcer of groin with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.478,Non-pressure chronic ulcer of groin with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.479,Non-pressure chronic ulcer of groin with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A111,Non-pressure chronic ulcer of right upper arm limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A112,Non-pressure chronic ulcer of right upper arm with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A113,Non-pressure chronic ulcer of right upper arm with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A114,Non-pressure chronic ulcer of right upper arm with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A115,Non-pressure chronic ulcer of right upper arm with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A116,Non-pressure chronic ulcer of right upper arm with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A118,Non-pressure chronic ulcer of right upper arm with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A119,Non-pressure chronic ulcer of right upper arm with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A121,Non-pressure chronic ulcer of left upper arm limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A122,Non-pressure chronic ulcer of left upper arm with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A123,Non-pressure chronic ulcer of left upper arm with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A124,Non-pressure chronic ulcer of left upper arm with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A125,Non-pressure chronic ulcer of left upper arm with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A126,Non-pressure chronic ulcer of left upper arm with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A128,Non-pressure chronic ulcer of left upper arm with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A129,Non-pressure chronic ulcer of left upper arm with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A191,Non-pressure chronic ulcer of unspecified upper arm limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A192,Non-pressure chronic ulcer of unspecified upper arm with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A193,Non-pressure chronic ulcer of unspecified upper arm with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A194,Non-pressure chronic ulcer of unspecified upper arm with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A195,Non-pressure chronic ulcer of unspecified upper arm with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A196,Non-pressure chronic ulcer of unspecified upper arm with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A198,Non-pressure chronic ulcer of unspecified upper arm with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A199,Non-pressure chronic ulcer of unspecified upper arm with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A211,Non-pressure chronic ulcer of right forearm limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A212,Non-pressure chronic ulcer of right forearm with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A213,Non-pressure chronic ulcer of right forearm with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A214,Non-pressure chronic ulcer of right forearm with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A215,Non-pressure chronic ulcer of right forearm with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A216,Non-pressure chronic ulcer of right forearm with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A218,Non-pressure chronic ulcer of right forearm with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A219,Non-pressure chronic ulcer of right forearm with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A221,Non-pressure chronic ulcer of left forearm limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A222,Non-pressure chronic ulcer of left forearm with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A223,Non-pressure chronic ulcer of left forearm with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A224,Non-pressure chronic ulcer of left forearm with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A225,Non-pressure chronic ulcer of left forearm with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A226,Non-pressure chronic ulcer of left forearm with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A228,Non-pressure chronic ulcer of left forearm with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A229,Non-pressure chronic ulcer of left forearm with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A291,Non-pressure chronic ulcer of unspecified forearm limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A292,Non-pressure chronic ulcer of unspecified forearm with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A293,Non-pressure chronic ulcer of unspecified forearm with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A294,Non-pressure chronic ulcer of unspecified forearm with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A295,Non-pressure chronic ulcer of unspecified forearm with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A296,Non-pressure chronic ulcer of unspecified forearm with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A298,Non-pressure chronic ulcer of unspecified forearm with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A299,Non-pressure chronic ulcer of unspecified forearm with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A311,Non-pressure chronic ulcer of right hand limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A312,Non-pressure chronic ulcer of right hand with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A313,Non-pressure chronic ulcer of right hand with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A314,Non-pressure chronic ulcer of right hand with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A315,Non-pressure chronic ulcer of right hand with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A316,Non-pressure chronic ulcer of right hand with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A318,Non-pressure chronic ulcer of right hand with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A319,Non-pressure chronic ulcer of right hand with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A321,Non-pressure chronic ulcer of left hand limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A322,Non-pressure chronic ulcer of left hand with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A323,Non-pressure chronic ulcer of left hand with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A324,Non-pressure chronic ulcer of left hand with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A325,Non-pressure chronic ulcer of left hand with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A326,Non-pressure chronic ulcer of left hand with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A328,Non-pressure chronic ulcer of left hand with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A329,Non-pressure chronic ulcer of left hand with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A391,Non-pressure chronic ulcer of unspecified hand limited to breakdown of skin,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A392,Non-pressure chronic ulcer of unspecified hand with fat layer exposed,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A393,Non-pressure chronic ulcer of unspecified hand with necrosis of muscle,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A394,Non-pressure chronic ulcer of unspecified hand with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A395,Non-pressure chronic ulcer of unspecified hand with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A396,Non-pressure chronic ulcer of unspecified hand with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A398,Non-pressure chronic ulcer of unspecified hand with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A399,Non-pressure chronic ulcer of unspecified hand with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
M05.A,Abnormal rheumatoid factor and anti-citrullinated protein antibody with rheumatoid arthritis,N,08,"545, 546, 547",Musculoskeletal System
N00.B1,Acute nephritic syndrome with idiopathic immune membranoproliferative glomerulonephritis (IC-MPGN),M,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
"""""",,,25,977(2),HIV Infections
N00.B2,Acute nephritic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN),M,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
"""""",,,25,977(2),HIV Infections
N04.B1,Nephrotic syndrome with idiopathic immune complex membranoproliferative glomerulonephritis (IC-MPGN),C,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,25,977(2),HIV Infections
N04.B2,Nephrotic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN),C,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,25,977(2),HIV Infections
N07.B,"Hereditary nephropathy, not elsewhere classified with APOL1-mediated kidney disease [AMKD]",N,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,25,977(2),HIV Infections
Q87.87,Hao-Fountain Syndrome,C,08,"564, 565, 566",Musculoskeletal System
Q87.88,CTNNB1 syndrome,C,01,"052, 053",Nervous System
Q89.81,Kabuki syndrome,C,08,"564, 565, 566",Musculoskeletal System
Q89.89,Other specified congenital malformations,C,08,"564, 565, 566",Musculoskeletal System
Q99.811,"Usher syndrome, type 1",C,08,"564, 565, 566",Musculoskeletal System
Q99.812,"Usher syndrome, type 2",C,08,"564, 565, 566",Musculoskeletal System
Q99.813,"Usher syndrome, type 3",C,08,"564, 565, 566",Musculoskeletal System
Q99.818,Other Usher syndrome,C,08,"564, 565, 566",Musculoskeletal System
Q99.819,"Usher syndrome, unspecified",C,08,"564, 565, 566",Musculoskeletal System
Q99.89,Other specified chromosome abnormalities,N,12,"729, 730",Male Reproductive System
"""""",,,13,"742, 743, 760, 761",Female Reproductive System
QA0.0101,SCN2A-related neurodevelopmental disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0102,CACNA1A-related neurodevelopmental disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0109,Neurodevelopmental disorder related to pathogenic variant in other ion channel gene,C,08,"564, 565, 566",Musculoskeletal System
QA0.011,"Neurodevelopmental disorders, related to pathogenic variants in glutamate receptor genes",C,08,"564, 565, 566",Musculoskeletal System
QA0.012,"Neurodevelopmental disorders, related to pathogenic variants in other receptor genes",C,08,"564, 565, 566",Musculoskeletal System
QA0.0131,SLC6A1-related disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0139,"Neurodevelopmental disorder, related to pathogenic variant in other transporter or solute carrier gene",C,08,"564, 565, 566",Musculoskeletal System
QA0.0141,Syntaxin-binding protein 1-related disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0142,DLG4-related synaptopathy,C,08,"564, 565, 566",Musculoskeletal System
QA0.0149,"Neurodevelopmental disorder, related to pathogenic variant in other synapse related gene",C,08,"564, 565, 566",Musculoskeletal System
QA0.0151,FOXG1 syndrome,C,08,"564, 565, 566",Musculoskeletal System
QA0.0159,"Neurodevelopmental disorder, related to other genes associated with transcription and gene expression",C,08,"564, 565, 566",Musculoskeletal System
QA0.8,Other neurodevelopmental disorders related to pathogenic variants in other specific genes,C,08,"564, 565, 566",Musculoskeletal System
R10.20,Pelvic and perineal pain unspecified side,N,06,"391, 392",Digestive System
R10.21,Pelvic and perineal pain right side,N,06,"391, 392",Digestive System
R10.22,Pelvic and perineal pain left side,N,06,"391, 392",Digestive System
R10.23,Pelvic and perineal pain bilateral,N,06,"391, 392",Digestive System
R10.24,Suprapubic pain,N,06,"391, 392",Digestive System
R10.85,Abdominal pain of multiple sites,N,06,"391, 392",Digestive System
R10.8A1,Right flank tenderness,N,06,"391, 392",Digestive System
R10.8A2,Left flank tenderness,N,06,"391, 392",Digestive System
R10.8A3,Suprapubic tenderness,N,06,"391, 392",Digestive System
R10.8A9,"Flank tenderness, unspecified",N,06,"391, 392",Digestive System
R10.A0,"Flank pain, unspecified side",N,06,"391, 392",Digestive System
R10.A1,"Flank pain, right side",N,06,"391, 392",Digestive System
R10.A2,"Flank pain, left side",N,06,"391, 392",Digestive System
R10.A3,"Flank pain, bilateral",N,06,"391, 392",Digestive System
R11.16,Cannabis hyperemesis syndrome,N,06,"391, 392",Digestive System
R39.851,"Costovertebral (angle) tenderness, right side",N,11,"695, 696",Kidney/Urinary Tract
R39.852,"Costovertebral (angle) tenderness, left side",N,11,"695, 696",Kidney/Urinary Tract
R39.853,"Costovertebral (angle) tenderness, bilateral",N,11,"695, 696",Kidney/Urinary Tract
R39.859,"Costovertebral (angle) tenderness, unspecified side",N,11,"695, 696",Kidney/Urinary Tract
R76.81,Abnormal rheumatoid factor and anti-citrullinated protein antibody without rheumatoid arthritis,N,16,"814, 815, 816",Blood/Blood-forming Organs
R76.89,Other specified abnormal immunological findings in serum,N,16,"814, 815, 816",Blood/Blood-forming Organs
S30.11XA,"Contusion of abdominal wall, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
