diagnosis_code,description,severity_level,service
A32.7,Listerial sepsis,MCC,Infectious/Parasitic Diseases
A33,Tetanus neonatorum,MCC,Infectious/Parasitic Diseases
A35,Other tetanus,MCC,Infectious/Parasitic Diseases
A37.01,Whooping cough due to Bordetella pertussis with pneumonia,MCC,Infectious/Parasitic Diseases
A37.11,Whooping cough due to Bordetella parapertussis with pneumonia,MCC,Infectious/Parasitic Diseases
A37.81,Whooping cough due to other Bordetella species with pneumonia,MCC,Infectious/Parasitic Diseases
A37.91,"Whooping cough, unspecified species with pneumonia",MCC,Infectious/Parasitic Diseases
A39.0,Meningococcal meningitis,MCC,Infectious/Parasitic Diseases
A39.1,Waterhouse-Friderichsen syndrome,MCC,Infectious/Parasitic Diseases
A39.2,Acute meningococcemia,MCC,Infectious/Parasitic Diseases
A39.3,Chronic meningococcemia,MCC,Infectious/Parasitic Diseases
A39.4,"Meningococcemia, unspecified",MCC,Infectious/Parasitic Diseases
A39.50,"Meningococcal carditis, unspecified",MCC,Infectious/Parasitic Diseases
A39.51,Meningococcal endocarditis,MCC,Infectious/Parasitic Diseases
A39.52,Meningococcal myocarditis,MCC,Infectious/Parasitic Diseases
A39.53,Meningococcal pericarditis,MCC,Infectious/Parasitic Diseases
A39.81,Meningococcal encephalitis,MCC,Infectious/Parasitic Diseases
A40.0,"Sepsis due to streptococcus, group A",MCC,Infectious/Parasitic Diseases
A40.1,"Sepsis due to streptococcus, group B",MCC,Infectious/Parasitic Diseases
A40.3,Sepsis due to Streptococcus pneumoniae,MCC,Infectious/Parasitic Diseases
A40.8,Other streptococcal sepsis,MCC,Infectious/Parasitic Diseases
A40.9,"Streptococcal sepsis, unspecified",MCC,Infectious/Parasitic Diseases
A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,MCC,Infectious/Parasitic Diseases
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus,MCC,Infectious/Parasitic Diseases
A41.1,Sepsis due to other specified staphylococcus,MCC,Infectious/Parasitic Diseases
A41.2,Sepsis due to unspecified staphylococcus,MCC,Infectious/Parasitic Diseases
A41.3,Sepsis due to Hemophilus influenzae,MCC,Infectious/Parasitic Diseases
A41.4,Sepsis due to anaerobes,MCC,Infectious/Parasitic Diseases
A41.50,"Gram-negative sepsis, unspecified",MCC,Infectious/Parasitic Diseases
A41.51,Sepsis due to Escherichia coli [E. coli],MCC,Infectious/Parasitic Diseases
A41.52,Sepsis due to Pseudomonas,MCC,Infectious/Parasitic Diseases
A41.53,Sepsis due to Serratia,MCC,Infectious/Parasitic Diseases
A41.54,Sepsis due to Acinetobacter baumannii,MCC,Infectious/Parasitic Diseases
A41.59,Other Gram-negative sepsis,MCC,Infectious/Parasitic Diseases
A41.81,Sepsis due to Enterococcus,MCC,Infectious/Parasitic Diseases
A41.89,Other specified sepsis,MCC,Infectious/Parasitic Diseases
A41.9,"Sepsis, unspecified organism",MCC,Infectious/Parasitic Diseases
A42.7,Actinomycotic sepsis,MCC,Infectious/Parasitic Diseases
A48.0,Gas gangrene,MCC,Infectious/Parasitic Diseases
A48.1,Legionnaires' disease,MCC,Infectious/Parasitic Diseases
A48.3,Toxic shock syndrome,MCC,Infectious/Parasitic Diseases
A50.41,Late congenital syphilitic meningitis,MCC,Infectious/Parasitic Diseases
A50.42,Late congenital syphilitic encephalitis,MCC,Infectious/Parasitic Diseases
A51.41,Secondary syphilitic meningitis,MCC,Infectious/Parasitic Diseases
A52.13,Late syphilitic meningitis,MCC,Infectious/Parasitic Diseases
A52.14,Late syphilitic encephalitis,MCC,Infectious/Parasitic Diseases
A54.81,Gonococcal meningitis,MCC,Infectious/Parasitic Diseases
A54.86,Gonococcal sepsis,MCC,Infectious/Parasitic Diseases
A80.0,"Acute paralytic poliomyelitis, vaccine-associated",MCC,Infectious/Parasitic Diseases
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",MCC,Infectious/Parasitic Diseases
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",MCC,Infectious/Parasitic Diseases
A80.30,"Acute paralytic poliomyelitis, unspecified",MCC,Infectious/Parasitic Diseases
A80.39,Other acute paralytic poliomyelitis,MCC,Infectious/Parasitic Diseases
A83.0,Japanese encephalitis,MCC,Infectious/Parasitic Diseases
A83.1,Western equine encephalitis,MCC,Infectious/Parasitic Diseases
A83.2,Eastern equine encephalitis,MCC,Infectious/Parasitic Diseases
A83.3,St Louis encephalitis,MCC,Infectious/Parasitic Diseases
A83.4,Australian encephalitis,MCC,Infectious/Parasitic Diseases
A83.5,California encephalitis,MCC,Infectious/Parasitic Diseases
A83.6,Rocio virus disease,MCC,Infectious/Parasitic Diseases
A83.8,Other mosquito-borne viral encephalitis,MCC,Infectious/Parasitic Diseases
A83.9,"Mosquito-borne viral encephalitis, unspecified",MCC,Infectious/Parasitic Diseases
A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],MCC,Infectious/Parasitic Diseases
A84.1,Central European tick-borne encephalitis,MCC,Infectious/Parasitic Diseases
A84.81,Powassan virus disease,MCC,Infectious/Parasitic Diseases
A84.89,Other tick-borne viral encephalitis,MCC,Infectious/Parasitic Diseases
A84.9,"Tick-borne viral encephalitis, unspecified",MCC,Infectious/Parasitic Diseases
A85.2,"Arthropod-borne viral encephalitis, unspecified",MCC,Infectious/Parasitic Diseases
A92.30,"West Nile virus infection, unspecified",MCC,Infectious/Parasitic Diseases
A92.31,West Nile virus infection with encephalitis,MCC,Infectious/Parasitic Diseases
A92.32,West Nile virus infection with other neurologic manifestation,MCC,Infectious/Parasitic Diseases
A92.39,West Nile virus infection with other complications,MCC,Infectious/Parasitic Diseases
B00.3,Herpesviral meningitis,MCC,Infectious/Parasitic Diseases
B00.4,Herpesviral encephalitis,MCC,Infectious/Parasitic Diseases
B00.7,Disseminated herpesviral disease,MCC,Infectious/Parasitic Diseases
B00.82,Herpes simplex myelitis,MCC,Infectious/Parasitic Diseases
B01.11,Varicella encephalitis and encephalomyelitis,MCC,Infectious/Parasitic Diseases
B01.12,Varicella myelitis,MCC,Infectious/Parasitic Diseases
B01.2,Varicella pneumonia,MCC,Infectious/Parasitic Diseases
B02.1,Zoster meningitis,MCC,Infectious/Parasitic Diseases
B02.24,Postherpetic myelitis,MCC,Infectious/Parasitic Diseases
B05.0,Measles complicated by encephalitis,MCC,Infectious/Parasitic Diseases
B05.2,Measles complicated by pneumonia,MCC,Infectious/Parasitic Diseases
B06.01,Rubella encephalitis,MCC,Infectious/Parasitic Diseases
B10.01,Human herpesvirus 6 encephalitis,MCC,Infectious/Parasitic Diseases
B10.09,Other human herpesvirus encephalitis,MCC,Infectious/Parasitic Diseases
B15.0,Hepatitis A with hepatic coma,MCC,Infectious/Parasitic Diseases
B16.0,Acute hepatitis B with delta-agent with hepatic coma,MCC,Infectious/Parasitic Diseases
B16.2,Acute hepatitis B without delta-agent with hepatic coma,MCC,Infectious/Parasitic Diseases
B17.11,Acute hepatitis C with hepatic coma,MCC,Infectious/Parasitic Diseases
B19.0,Unspecified viral hepatitis with hepatic coma,MCC,Infectious/Parasitic Diseases
B19.11,Unspecified viral hepatitis B with hepatic coma,MCC,Infectious/Parasitic Diseases
B19.21,Unspecified viral hepatitis C with hepatic coma,MCC,Infectious/Parasitic Diseases
B25.0,Cytomegaloviral pneumonitis,MCC,Infectious/Parasitic Diseases
B25.2,Cytomegaloviral pancreatitis,MCC,Infectious/Parasitic Diseases
B26.1,Mumps meningitis,MCC,Infectious/Parasitic Diseases
B26.2,Mumps encephalitis,MCC,Infectious/Parasitic Diseases
B37.1,Pulmonary candidiasis,MCC,Infectious/Parasitic Diseases
B37.5,Candidal meningitis,MCC,Infectious/Parasitic Diseases
B37.6,Candidal endocarditis,MCC,Infectious/Parasitic Diseases
B37.7,Candidal sepsis,MCC,Infectious/Parasitic Diseases
B38.4,Coccidioidomycosis meningitis,MCC,Infectious/Parasitic Diseases
B39.0,Acute pulmonary histoplasmosis capsulati,MCC,Infectious/Parasitic Diseases
B39.1,Chronic pulmonary histoplasmosis capsulati,MCC,Infectious/Parasitic Diseases
B39.2,"Pulmonary histoplasmosis capsulati, unspecified",MCC,Infectious/Parasitic Diseases
B44.0,Invasive pulmonary aspergillosis,MCC,Infectious/Parasitic Diseases
B45.1,Cerebral cryptococcosis,MCC,Infectious/Parasitic Diseases
B46.0,Pulmonary mucormycosis,MCC,Infectious/Parasitic Diseases
B46.1,Rhinocerebral mucormycosis,MCC,Infectious/Parasitic Diseases
B46.2,Gastrointestinal mucormycosis,MCC,Infectious/Parasitic Diseases
B46.3,Cutaneous mucormycosis,MCC,Infectious/Parasitic Diseases
B46.4,Disseminated mucormycosis,MCC,Infectious/Parasitic Diseases
B46.5,"Mucormycosis, unspecified",MCC,Infectious/Parasitic Diseases
B46.8,Other zygomycoses,MCC,Infectious/Parasitic Diseases
B46.9,"Zygomycosis, unspecified",MCC,Infectious/Parasitic Diseases
B50.9,"Plasmodium falciparum malaria, unspecified",MCC,Infectious/Parasitic Diseases
B58.2,Toxoplasma meningoencephalitis,MCC,Infectious/Parasitic Diseases
B58.3,Pulmonary toxoplasmosis,MCC,Infectious/Parasitic Diseases
B58.81,Toxoplasma myocarditis,MCC,Infectious/Parasitic Diseases
B59,Pneumocystosis,MCC,Infectious/Parasitic Diseases
B77.81,Ascariasis pneumonia,MCC,Infectious/Parasitic Diseases
D57.00,"Hb-SS disease with crisis, unspecified",MCC,Blood/Immune System
D57.01,Hb-SS disease with acute chest syndrome,MCC,Blood/Immune System
D57.02,Hb-SS disease with splenic sequestration,MCC,Blood/Immune System
D57.03,Hb-SS disease with cerebral vascular involvement,MCC,Blood/Immune System
D57.04,Hb-SS disease with dactylitis,MCC,Blood/Immune System
D57.09,Hb-SS disease with crisis with other specified complication,MCC,Blood/Immune System
D57.211,Sickle-cell/Hb-C disease with acute chest syndrome,MCC,Blood/Immune System
D57.212,Sickle-cell/Hb-C disease with splenic sequestration,MCC,Blood/Immune System
D57.213,Sickle-cell/Hb-C disease with cerebral vascular involvement,MCC,Blood/Immune System
D57.214,Sickle-cell/Hb-C disease with dactylitis,MCC,Blood/Immune System
D57.218,Sickle-cell/Hb-C disease with crisis with other specified complication,MCC,Blood/Immune System
D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified",MCC,Blood/Immune System
D57.411,"Sickle-cell thalassemia, unspecified, with acute chest syndrome",MCC,Blood/Immune System
D57.412,"Sickle-cell thalassemia, unspecified, with splenic sequestration",MCC,Blood/Immune System
D57.413,"Sickle-cell thalassemia, unspecified, with cerebral vascular involvement",MCC,Blood/Immune System
D57.414,"Sickle-cell thalassemia, unspecified, with dactylitis",MCC,Blood/Immune System
D57.418,"Sickle-cell thalassemia, unspecified, with crisis with other specified complication",MCC,Blood/Immune System
D57.419,"Sickle-cell thalassemia, unspecified, with crisis",MCC,Blood/Immune System
D57.431,Sickle-cell thalassemia beta zero with acute chest syndrome,MCC,Blood/Immune System
D57.432,Sickle-cell thalassemia beta zero with splenic sequestration,MCC,Blood/Immune System
D57.433,Sickle-cell thalassemia beta zero with cerebral vascular involvement,MCC,Blood/Immune System
D57.434,Sickle-cell thalassemia beta zero with dactylitis,MCC,Blood/Immune System
D57.438,Sickle-cell thalassemia beta zero with crisis with other specified complication,MCC,Blood/Immune System
D57.439,"Sickle-cell thalassemia beta zero with crisis, unspecified",MCC,Blood/Immune System
D57.451,Sickle-cell thalassemia beta plus with acute chest syndrome,MCC,Blood/Immune System
D57.452,Sickle-cell thalassemia beta plus with splenic sequestration,MCC,Blood/Immune System
D57.453,Sickle-cell thalassemia beta plus with cerebral vascular involvement,MCC,Blood/Immune System
D57.454,Sickle-cell thalassemia beta plus with dactylitis,MCC,Blood/Immune System
D57.458,Sickle-cell thalassemia beta plus with crisis with other specified complication,MCC,Blood/Immune System
D57.459,"Sickle-cell thalassemia beta plus with crisis, unspecified",MCC,Blood/Immune System
D57.811,Other sickle-cell disorders with acute chest syndrome,MCC,Blood/Immune System
D57.812,Other sickle-cell disorders with splenic sequestration,MCC,Blood/Immune System
D57.813,Other sickle-cell disorders with cerebral vascular involvement,MCC,Blood/Immune System
D57.814,Other sickle-cell disorders with dactylitis,MCC,Blood/Immune System
D57.818,Other sickle-cell disorders with crisis with other specified complication,MCC,Blood/Immune System
D57.819,"Other sickle-cell disorders with crisis, unspecified",MCC,Blood/Immune System
D59.30,"Hemolytic-uremic syndrome, unspecified",MCC,Blood/Immune System
D59.31,Infection-associated hemolytic-uremic syndrome,MCC,Blood/Immune System
D59.32,Hereditary hemolytic-uremic syndrome,MCC,Blood/Immune System
D59.39,Other hemolytic-uremic syndrome,MCC,Blood/Immune System
D60.0,Chronic acquired pure red cell aplasia,MCC,Blood/Immune System
D60.1,Transient acquired pure red cell aplasia,MCC,Blood/Immune System
D60.8,Other acquired pure red cell aplasias,MCC,Blood/Immune System
D60.9,"Acquired pure red cell aplasia, unspecified",MCC,Blood/Immune System
D61.1,Drug-induced aplastic anemia,MCC,Blood/Immune System
D61.2,Aplastic anemia due to other external agents,MCC,Blood/Immune System
D61.3,Idiopathic aplastic anemia,MCC,Blood/Immune System
D61.810,Antineoplastic chemotherapy induced pancytopenia,MCC,Blood/Immune System
D61.811,Other drug-induced pancytopenia,MCC,Blood/Immune System
D61.89,Other specified aplastic anemias and other bone marrow failure syndromes,MCC,Blood/Immune System
D65,Disseminated intravascular coagulation [defibrination syndrome],MCC,Blood/Immune System
D66,Hereditary factor VIII deficiency,MCC,Blood/Immune System
D67,Hereditary factor IX deficiency,MCC,Blood/Immune System
E03.5,Myxedema coma,MCC,Endocrine/Nutritional/Metabolic
E05.01,Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm,MCC,Endocrine/Nutritional/Metabolic
E05.11,Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm,MCC,Endocrine/Nutritional/Metabolic
E05.21,Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm,MCC,Endocrine/Nutritional/Metabolic
E05.31,Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm,MCC,Endocrine/Nutritional/Metabolic
E05.41,Thyrotoxicosis factitia with thyrotoxic crisis or storm,MCC,Endocrine/Nutritional/Metabolic
E05.81,Other thyrotoxicosis with thyrotoxic crisis or storm,MCC,Endocrine/Nutritional/Metabolic
E05.91,"Thyrotoxicosis, unspecified with thyrotoxic crisis or storm",MCC,Endocrine/Nutritional/Metabolic
E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),MCC,Endocrine/Nutritional/Metabolic
E08.01,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,MCC,Endocrine/Nutritional/Metabolic
E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma,MCC,Endocrine/Nutritional/Metabolic
E08.11,Diabetes mellitus due to underlying condition with ketoacidosis with coma,MCC,Endocrine/Nutritional/Metabolic
E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma,MCC,Endocrine/Nutritional/Metabolic
E09.00,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),MCC,Endocrine/Nutritional/Metabolic
E09.01,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,MCC,Endocrine/Nutritional/Metabolic
E09.10,Drug or chemical induced diabetes mellitus with ketoacidosis without coma,MCC,Endocrine/Nutritional/Metabolic
E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,MCC,Endocrine/Nutritional/Metabolic
E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma,MCC,Endocrine/Nutritional/Metabolic
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma,MCC,Endocrine/Nutritional/Metabolic
E10.11,Type 1 diabetes mellitus with ketoacidosis with coma,MCC,Endocrine/Nutritional/Metabolic
E10.641,Type 1 diabetes mellitus with hypoglycemia with coma,MCC,Endocrine/Nutritional/Metabolic
E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),MCC,Endocrine/Nutritional/Metabolic
E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma,MCC,Endocrine/Nutritional/Metabolic
E11.10,Type 2 diabetes mellitus with ketoacidosis without coma,MCC,Endocrine/Nutritional/Metabolic
E11.11,Type 2 diabetes mellitus with ketoacidosis with coma,MCC,Endocrine/Nutritional/Metabolic
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma,MCC,Endocrine/Nutritional/Metabolic
E13.00,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),MCC,Endocrine/Nutritional/Metabolic
E13.01,Other specified diabetes mellitus with hyperosmolarity with coma,MCC,Endocrine/Nutritional/Metabolic
E13.10,Other specified diabetes mellitus with ketoacidosis without coma,MCC,Endocrine/Nutritional/Metabolic
E13.11,Other specified diabetes mellitus with ketoacidosis with coma,MCC,Endocrine/Nutritional/Metabolic
E13.641,Other specified diabetes mellitus with hypoglycemia with coma,MCC,Endocrine/Nutritional/Metabolic
E40,Kwashiorkor,MCC,Endocrine/Nutritional/Metabolic
E41,Nutritional marasmus,MCC,Endocrine/Nutritional/Metabolic
E42,Marasmic kwashiorkor,MCC,Endocrine/Nutritional/Metabolic
E43,Unspecified severe protein-calorie malnutrition,MCC,Endocrine/Nutritional/Metabolic
E84.0,Cystic fibrosis with pulmonary manifestations,MCC,Endocrine/Nutritional/Metabolic
E84.11,Meconium ileus in cystic fibrosis,MCC,Endocrine/Nutritional/Metabolic
E88.3,Tumor lysis syndrome,MCC,Endocrine/Nutritional/Metabolic
G00.0,Hemophilus meningitis,MCC,Nervous System
G00.1,Pneumococcal meningitis,MCC,Nervous System
G00.2,Streptococcal meningitis,MCC,Nervous System
G00.3,Staphylococcal meningitis,MCC,Nervous System
G00.8,Other bacterial meningitis,MCC,Nervous System
G00.9,"Bacterial meningitis, unspecified",MCC,Nervous System
G01,Meningitis in bacterial diseases classified elsewhere,MCC,Nervous System
G02,Meningitis in other infectious and parasitic diseases classified elsewhere,MCC,Nervous System
G03.0,Nonpyogenic meningitis,MCC,Nervous System
G03.8,Meningitis due to other specified causes,MCC,Nervous System
G03.9,"Meningitis, unspecified",MCC,Nervous System
G04.00,"Acute disseminated encephalitis and encephalomyelitis, unspecified",MCC,Nervous System
G04.01,Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM),MCC,Nervous System
G04.02,"Postimmunization acute disseminated encephalitis, myelitis and encephalomyelitis",MCC,Nervous System
G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",MCC,Nervous System
G04.30,"Acute necrotizing hemorrhagic encephalopathy, unspecified",MCC,Nervous System
G04.31,Postinfectious acute necrotizing hemorrhagic encephalopathy,MCC,Nervous System
G04.32,Postimmunization acute necrotizing hemorrhagic encephalopathy,MCC,Nervous System
G04.39,Other acute necrotizing hemorrhagic encephalopathy,MCC,Nervous System
G04.81,Other encephalitis and encephalomyelitis,MCC,Nervous System
G04.82,Acute flaccid myelitis,MCC,Nervous System
G04.89,Other myelitis,MCC,Nervous System
G04.90,"Encephalitis and encephalomyelitis, unspecified",MCC,Nervous System
G04.91,"Myelitis, unspecified",MCC,Nervous System
G05.3,Encephalitis and encephalomyelitis in diseases classified elsewhere,MCC,Nervous System
G05.4,Myelitis in diseases classified elsewhere,MCC,Nervous System
G06.0,Intracranial abscess and granuloma,MCC,Nervous System
G06.1,Intraspinal abscess and granuloma,MCC,Nervous System
G06.2,"Extradural and subdural abscess, unspecified",MCC,Nervous System
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,MCC,Nervous System
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,MCC,Nervous System
G21.0,Malignant neuroleptic syndrome,MCC,Nervous System
G37.4,Subacute necrotizing myelitis of central nervous system,MCC,Nervous System
G40.301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus",MCC,Nervous System
G40.311,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus",MCC,Nervous System
G40.319,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus",MCC,Nervous System
G70.01,Myasthenia gravis with (acute) exacerbation,MCC,Nervous System
G80.0,Spastic quadriplegic cerebral palsy,MCC,Nervous System
G82.50,"Quadriplegia, unspecified",MCC,Nervous System
G82.51,"Quadriplegia, C1-C4 complete",MCC,Nervous System
G82.52,"Quadriplegia, C1-C4 incomplete",MCC,Nervous System
G82.53,"Quadriplegia, C5-C7 complete",MCC,Nervous System
G82.54,"Quadriplegia, C5-C7 incomplete",MCC,Nervous System
G83.5,Locked-in state,MCC,Nervous System
G92.8,Other toxic encephalopathy,MCC,Nervous System
G92.9,Unspecified toxic encephalopathy,MCC,Nervous System
G93.41,Metabolic encephalopathy,MCC,Nervous System
G93.5,Compression of brain,MCC,Nervous System
G93.6,Cerebral edema,MCC,Nervous System
G93.7,Reye's syndrome,MCC,Nervous System
G93.82,Brain death,MCC,Nervous System
G95.11,Acute infarction of spinal cord (embolic) (nonembolic),MCC,Nervous System
G95.19,Other vascular myelopathies,MCC,Nervous System
I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery,MCC,Circulatory System
I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,MCC,Circulatory System
I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,MCC,Circulatory System
I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery,MCC,Circulatory System
I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,MCC,Circulatory System
I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,MCC,Circulatory System
I21.29,ST elevation (STEMI) myocardial infarction involving other sites,MCC,Circulatory System
I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,MCC,Circulatory System
I21.4,Non-ST elevation (NSTEMI) myocardial infarction,MCC,Circulatory System
I21.9,"Acute myocardial infarction, unspecified",MCC,Circulatory System
I21.A1,Myocardial infarction type 2,MCC,Circulatory System
I21.A9,Other myocardial infarction type,MCC,Circulatory System
I21.B,Myocardial infarction with coronary microvascular dysfunction,MCC,Circulatory System
I22.0,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,MCC,Circulatory System
I22.1,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,MCC,Circulatory System
I22.2,Subsequent non-ST elevation (NSTEMI) myocardial infarction,MCC,Circulatory System
I22.8,Subsequent ST elevation (STEMI) myocardial infarction of other sites,MCC,Circulatory System
I22.9,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,MCC,Circulatory System
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction,MCC,Circulatory System
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction,MCC,Circulatory System
I25.42,Coronary artery dissection,MCC,Circulatory System
I26.01,Septic pulmonary embolism with acute cor pulmonale,MCC,Circulatory System
I26.02,Saddle embolus of pulmonary artery with acute cor pulmonale,MCC,Circulatory System
I26.03,Cement embolism of pulmonary artery with acute cor pulmonale,MCC,Circulatory System
I26.04,Fat embolism of pulmonary artery with acute cor pulmonale,MCC,Circulatory System
I26.09,Other pulmonary embolism with acute cor pulmonale,MCC,Circulatory System
I26.90,Septic pulmonary embolism without acute cor pulmonale,MCC,Circulatory System
I26.92,Saddle embolus of pulmonary artery without acute cor pulmonale,MCC,Circulatory System
I26.93,Single subsegmental thrombotic pulmonary embolism without acute cor pulmonale,MCC,Circulatory System
I26.94,Multiple subsegmental thrombotic pulmonary emboli without acute cor pulmonale,MCC,Circulatory System
I26.95,Cement embolism of pulmonary artery without acute cor pulmonale,MCC,Circulatory System
I26.96,Fat embolism of pulmonary artery without acute cor pulmonale,MCC,Circulatory System
I26.99,Other pulmonary embolism without acute cor pulmonale,MCC,Circulatory System
I33.0,Acute and subacute infective endocarditis,MCC,Circulatory System
I33.9,"Acute and subacute endocarditis, unspecified",MCC,Circulatory System
I40.0,Infective myocarditis,MCC,Circulatory System
I40.1,Isolated myocarditis,MCC,Circulatory System
I40.8,Other acute myocarditis,MCC,Circulatory System
I40.9,"Acute myocarditis, unspecified",MCC,Circulatory System
I41,Myocarditis in diseases classified elsewhere,MCC,Circulatory System
I46.2,Cardiac arrest due to underlying cardiac condition,MCC,Circulatory System
I46.8,Cardiac arrest due to other underlying condition,MCC,Circulatory System
I46.9,"Cardiac arrest, cause unspecified",MCC,Circulatory System
I49.01,Ventricular fibrillation,MCC,Circulatory System
I49.02,Ventricular flutter,MCC,Circulatory System
I50.21,Acute systolic (congestive) heart failure,MCC,Circulatory System
I50.23,Acute on chronic systolic (congestive) heart failure,MCC,Circulatory System
I50.31,Acute diastolic (congestive) heart failure,MCC,Circulatory System
I50.33,Acute on chronic diastolic (congestive) heart failure,MCC,Circulatory System
I50.41,Acute combined systolic (congestive) and diastolic (congestive) heart failure,MCC,Circulatory System
I50.43,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,MCC,Circulatory System
I51.1,"Rupture of chordae tendineae, not elsewhere classified",MCC,Circulatory System
I51.2,"Rupture of papillary muscle, not elsewhere classified",MCC,Circulatory System
I60.00,Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation,MCC,Circulatory System
I60.01,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation,MCC,Circulatory System
I60.02,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation,MCC,Circulatory System
I60.10,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,MCC,Circulatory System
